date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:02:49	106715/106715	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/images/khatam-tadayon-107740-1200x796.jpg	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/images/khatam-tadayon-107740-1200x796.jpg	(from https://mobirise.com/extensions/businessm4/travel-agency/)
15:02:50	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Nov%202023%2009:32:50%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/index.html	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/index-2.html	(from https://mobirise.com/extensions/businessm4/travel-agency/)
15:02:50	94276/94276	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/images/sho-hatakeyama-117306-unsplash-1200x800.jpg	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/images/sho-hatakeyama-117306-unsplash-1200x800.jpg	(from https://mobirise.com/extensions/businessm4/travel-agency/)
15:02:50	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Nov%202023%2009:32:50%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/index.html	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/index-2.html	(from https://mobirise.com/extensions/businessm4/travel-agency/)
15:02:51	156330/156330	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/images/luca-bravo-121931-unsplash-1200x800.jpg	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/images/luca-bravo-121931-unsplash-1200x800.jpg	(from https://mobirise.com/extensions/businessm4/travel-agency/)
15:02:51	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Nov%202023%2009:32:51%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/index.html	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/index-2.html	(from https://mobirise.com/extensions/businessm4/travel-agency/)
15:02:51	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Nov%202023%2009:32:51%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/index.html	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/index-2.html	(from https://mobirise.com/extensions/businessm4/travel-agency/)
15:02:52	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Nov%202023%2009:32:52%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/index.html	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/index-2.html	(from https://mobirise.com/extensions/businessm4/travel-agency/)
15:02:52	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Nov%202023%2009:32:52%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/index.html	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/index-2.html	(from https://mobirise.com/extensions/businessm4/travel-agency/)
15:02:52	59494/59494	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/images/ross-parmly-25230-unsplash-1200x797.jpg	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/images/ross-parmly-25230-unsplash-1200x797.jpg	(from https://mobirise.com/extensions/businessm4/travel-agency/)
